name,chinese_name,description,series,condition,form,subform,target,material,formula,effect
azure dragon summon,東．青龍,／木木木木木／木行攻擊，點數＝８１，傷害後轉移為木行環境，本陣法不受其他陣法效果影響,field,{},attack,tree,-1,"{ ""element"": { ""tree"": 5 }, ""count"": 5 }",81,"{ ""attack"": ""point"", ""immune"": [""attack"", ""split"", ""spell""], ""summon"": { ""field"": ""tree"" } }"
white tiger summon,西．白虎,／金金金金金／金行攻擊，點數＝８１，傷害後轉移為金行環境，本陣法不受其他陣法效果影響,field,{},attack,metal,-1,"{ ""element"": { ""metal"": 5 }, ""count"": 5 }",81,"{ ""attack"": ""point"", ""immune"": [""attack"", ""split"", ""spell""], ""summon"": { ""field"": ""metal"" } }"
vermilion bird summon,南．朱雀,／火火火火火／火行攻擊，點數＝８１，傷害後轉移為火行環境，本陣法不受其他陣法效果影響,field,{},attack,fire,-1,"{ ""element"": { ""fire"": 5 }, ""count"": 5 }",81,"{ ""attack"": ""point"", ""immune"": [""attack"", ""split"", ""spell""], ""summon"": { ""field"": ""fire"" } }"
black tortoise summon,北．玄武,／水水水水水／水行攻擊，點數＝８１，傷害後轉移為水行環境，本陣法不受其他陣法效果影響,field,{},attack,water,-1,"{ ""element"": { ""water"": 5 }, ""count"": 5 }",81,"{ ""attack"": ""point"", ""immune"": [""attack"", ""split"", ""spell""], ""summon"": { ""field"": ""water"" } }"
yellow snake summon,中．黃蛇,／土土土土土／土行攻擊，點數＝８１，傷害後轉移為土行環境，本陣法不受其他陣法效果影響,field,{},attack,earth,-1,"{ ""element"": { ""earth"": 5 }, ""count"": 5 }",81,"{ ""attack"": ""point"", ""immune"": [""attack"", ""split"", ""spell""], ""summon"": { ""field"": ""earth"" } }"
metal overcome,金凌,金行攻擊雙倍,field,"{ ""field"": ""metal"", ""ruletype"": { ""form"": ""attack"", ""subform"": ""metal"" } }",power,static, ,{},,"{ ""modify"": ""double"" }"
earth neutralize,土和,土行傷害改為恢復目標之生命值,field,"{ ""field"": ""metal"", ""ruletype"": { ""form"": ""attack"", ""subform"": ""earth"" } }",power,static, ,{},,"{ ""modify"": ""heal"" }"
tree suppress,木解,防禦、氣壁無效,field,"{ ""field"": ""metal"", ""rule"": { ""defense"": 0, ""shield"": 0 } }",power,static, ,{},,"{ ""modify"": ""counter"" }"
tree overcome,木凌,木行攻擊雙倍,field,"{ ""field"": ""tree"", ""ruletype"": { ""form"": ""attack"", ""subform"": ""tree"" } }",power,static, ,{},,"{ ""modify"": ""double"" }"
water neutralize,水和,水行傷害改為恢復目標之生命值,field,"{ ""field"": ""tree"", ""ruletype"": { ""form"": ""attack"", ""subform"": ""water"" } }",power,static, ,{},,"{ ""modify"": ""heal"" }"
earth suppress,土解,幻化、混沌無效,field,"{ ""field"": ""tree"", ""rule"": { ""imitate"": 0, ""chaos"": 0 } }",power,static, ,{},,"{ ""modify"": ""counter"" }"
water overcome,水凌,水行攻擊雙倍,field,"{ ""field"": ""water"", ""ruletype"": { ""form"": ""attack"", ""subform"": ""water"" } }",power,static, ,{},,"{ ""modify"": ""double"" }"
metal neutralize,金和,金行傷害改為恢復目標之生命值,field,"{ ""field"": ""water"", ""ruletype"": { ""form"": ""attack"", ""subform"": ""metal"" } }",power,static, ,{},,"{ ""modify"": ""heal"" }"
fire suppress,火解,反震、震暴無效,field,"{ ""field"": ""water"", ""rule"": { ""backfire"": 0, ""burst"": 0 } }",power,static, ,{},,"{ ""modify"": ""counter"" }"
fire overcome,火凌,火行攻擊雙倍,field,"{ ""field"": ""fire"", ""ruletype"": { ""form"": ""attack"", ""subform"": ""fire"" } }",power,static, ,{},,"{ ""modify"": ""double"" }"
tree neutralize,木和,木行傷害改為恢復目標之生命值,field,"{ ""field"": ""fire"", ""ruletype"": { ""form"": ""attack"", ""subform"": ""tree"" } }",power,static, ,{},,"{ ""modify"": ""heal"" }"
metal suppress,金解,武器、光芒無效,field,"{ ""field"": ""fire"", ""rule"": { ""weapon"": 0, ""shine"": 0 } }",power,static, ,{},,"{ ""modify"": ""counter"" }"
earth overcome,土凌,土行攻擊雙倍,field,"{ ""field"": ""earth"", ""ruletype"": { ""form"": ""attack"", ""subform"": ""earth"" } }",power,static, ,{},,"{ ""modify"": ""double"" }"
fire neutralize,火和,火行傷害改為恢復目標之生命值,field,"{ ""field"": ""earth"", ""ruletype"": { ""form"": ""attack"", ""subform"": ""fire"" } }",power,static, ,{},,"{ ""modify"": ""heal"" }"
water suppress,水解,封印、歸元無效,field,"{ ""field"": ""earth"", ""rule"": { ""seal"": 0, ""recover"": 0 } }",power,static, ,{},,"{ ""modify"": ""counter"" }"
void field,虛空斷脈術,／三張同級牌／主動術式，破除環境，環境被破除時雙方扣除２０點生命,field,{},spell,active,,"{ ""level"": { ""same"": 3 }, ""count"": 3 }",,"{ ""eject"": { ""field"": ""all"" }, ""reduce_affected"": 20 }"
