name,chinese_name,description,series,condition,form,subform,target,material,formula,effect
venus summon,太白召喚,施展３０點以上鍠金時召喚，召喚時破除木星‧歲星,star,"{ ""rule"": { ""metal formation"": 30 }, ""star"": { ""venus"": ""none"" } }",power,passive,0,{},,"{ ""summon"": { ""star"": ""venus"" }, ""eject"": { ""star"": ""jupiter"" } }"
transform metal,土化金,組合基礎規則陣法時，可以將一張土行牌視為金行牌,star,"{ ""star"": { ""venus"": ""mine"" } }",power,active,,"{ ""element"": { ""earth"": 1 }, ""count"": 1 }",,"{ ""obtain"": { ""element"": ""metal"" }, ""restrict"": { ""ruleset"": ""basic"" } }"
venus attack,太白星擊,／金／金行攻擊，點數＝１０,star,"{ ""star"": { ""venus"": ""mine"" } }",attack,metal,-1,"{ ""element"": { ""metal"": 1 }, ""count"": 1 }",10,"{ ""attack"": ""point"" }"
venus formation,太白鍊天陣,／金金土／金行攻擊，點數＝等級總和×３，本回合抽牌＋１，破除金星‧太白,star,"{ ""star"": { ""venus"": ""mine"" } }",attack,metal,-1,"{ ""element"": { ""metal"": 2, ""earth"": 1 }, ""count"": 3 }",sum * 3,"{ ""attack"": ""point"", ""draw_extra"": 1, ""eject"": { ""star"": ""venus"" } }"
jupiter summon,歲星召喚,施展３０點以上樸木時召喚，召喚時破除土星‧鎮星,star,"{ ""rule"": { ""tree formation"": 30 }, ""star"": { ""jupiter"": ""none"" } }",power,passive,0,{},,"{ ""summon"": { ""star"": ""jupiter"" }, ""eject"": { ""star"": ""saturn"" } }"
transform tree,水化木,組合基礎規則陣法時，可以將一張水行牌視為木行牌,star,"{ ""star"": { ""jupiter"": ""mine"" } }",power,active,,"{ ""element"": { ""water"": 1 }, ""count"": 1 }",,"{ ""obtain"": { ""element"": ""tree"" }, ""restrict"": { ""ruleset"": ""basic"" } }"
jupiter attack,歲星星擊,／木／木行攻擊，點數＝１０,star,"{ ""star"": { ""jupiter"": ""mine"" } }",attack,tree,-1,"{ ""element"": { ""tree"": 1 }, ""count"": 1 }",10,"{ ""attack"": ""point"" }"
jupiter formation,歲星柱天陣,／木木水／木行攻擊，點數＝等級總和×３，本回合抽牌＋１，破除木星‧歲星,star,"{ ""star"": { ""jupiter"": ""mine"" } }",attack,tree,-1,"{ ""element"": { ""tree"": 2, ""water"": 1 }, ""count"": 3 }",sum * 3,"{ ""attack"": ""point"", ""draw_extra"": 1, ""eject"": { ""star"": ""jupiter"" } }"
mercury summon,辰星召喚,施展３０點以上洄水時召喚，召喚時破除火星‧熒惑,star,"{ ""rule"": { ""water formation"": 30 }, ""star"": { ""mercury"": ""none"" } }",power,passive,0,{},,"{ ""summon"": { ""star"": ""mercury"" }, ""eject"": { ""star"": ""mars"" } }"
transform water,金化水,組合基礎規則陣法時，可以將一張金行牌視為水行牌,star,"{ ""star"": { ""mercury"": ""mine"" } }",power,active,,"{ ""element"": { ""water"": 1 }, ""count"": 1 }",,"{ ""obtain"": { ""element"": ""water"" }, ""restrict"": { ""ruleset"": ""basic"" } }"
